2026-05-04 15:35:17,914 | Starting PSA Pokemon auction review. Source=live eBay. Bidding mode=manual.
2026-05-04 15:35:18,540 | Reviewing up to 25 auctions one at a time.
2026-05-04 15:35:18,540 | Scanning up to 25 PSA auctions...
2026-05-04 15:35:18,541 | Getting PSA auction list from eBay...
2026-05-04 15:35:19,474 | Found 25 PSA auction summaries on eBay.
2026-05-04 15:35:20,165 | ------ Start auction 1/25 ------
2026-05-04 15:35:20,165 | Item ID: 306905166094 | Current price: $29.99
2026-05-04 15:35:20,165 | Auction title: 2025 POKEMON PFL EN-PHANTASMAL FLAMES ILLUSTRATION RARE #105 WIGGLYTUFF PSA 9
2026-05-04 15:35:20,165 | Step 1: Checking listing requirements...
2026-05-04 15:35:20,170 | Final decision: DENIED. Reason: Could not detect an allow-listed Pokemon in the listing details.
2026-05-04 15:35:20,170 | ------ End auction 1/25: denied ------
2026-05-04 15:35:25,705 | ------ Start auction 2/25 ------
2026-05-04 15:35:25,705 | Item ID: 306905167023 | Current price: $29.99
2026-05-04 15:35:25,705 | Auction title: 2025 POKEMON PFL EN-PHANTASMAL FLAMES ILLUSTRATION RARE #104 TOGEDEMARU PSA 9
2026-05-04 15:35:25,705 | Step 1: Checking listing requirements...
2026-05-04 15:35:25,710 | Final decision: DENIED. Reason: Could not detect an allow-listed Pokemon in the listing details.
2026-05-04 15:35:25,710 | ------ End auction 2/25: denied ------
2026-05-04 15:35:31,328 | ------ Start auction 3/25 ------
2026-05-04 15:35:31,328 | Item ID: 117165118140 | Current price: $29.99
2026-05-04 15:35:31,328 | Auction title: 2016 POKEMON XY EVOLUTIONS #10 CHARMELEON-REVERSE FOIL PSA 6
2026-05-04 15:35:31,328 | Step 1: Checking listing requirements...
2026-05-04 15:35:31,332 | Final decision: DENIED. Reason: Could not detect an allow-listed Pokemon in the listing details.; Listing grade is not in the allowed grades rule set.
2026-05-04 15:35:31,332 | ------ End auction 3/25: denied ------
2026-05-04 15:35:36,912 | ------ Start auction 4/25 ------
2026-05-04 15:35:36,912 | Item ID: 306905168458 | Current price: $49.99
2026-05-04 15:35:36,912 | Auction title: 2016 POKEMON XY EVOLUTIONS #52 MEWTWO EX PSA 8
2026-05-04 15:35:36,912 | Step 1: Checking listing requirements...
2026-05-04 15:35:36,916 | Step 1 result: passed. Card appears to be Mewtwo, PSA 8, unknown language, current price $49.99.
2026-05-04 15:35:36,916 | Step 2: Asking the listing-review agent if this auction is worth researching...
2026-05-04 15:35:39,772 | Step 2 result: selected for market research.
2026-05-04 15:35:39,772 | Step 3: Researching market value, sold comps, and sell-through...
2026-05-04 15:35:54,153 | Step 3 result: market value=$15.00, sold comps=6, active listings=1, sell-through=1.00.
2026-05-04 15:35:54,153 | Market evidence: The card has 1 active listing and 6 sold listings, indicating a 100% sell-through rate. Recent sold prices range from $13.50 to $40.00, with an average around $20.00. A GameStop listing priced at $20.99 is also available. ([gamestop.com](https://www.gamestop.com/graded-trading-cards/graded-cards/tcg-cards/pokemon-cards/products/2016-pokemon-xy-evolutions-52-mewtwo-ex-psa-8/PSA125326187M.html?utm_source=openai)) Conservative valuation override: Using lower sold comps instead of median/top-of-range comps because bidding should preserve downside margin. Lower comps=[13.5, 15.0, 19.99], spread_ratio=2.96, bid_fraction=0.70. Estimated market value was capped from $20.00 to $15.00.
2026-05-04 15:35:54,153 | Step 4: Asking the analysis agent for fair value and max bid...
2026-05-04 15:35:58,622 | Step 4 result: do not bid. Estimated value=$15.00, recommended max bid=unknown, confidence=0.60.
2026-05-04 15:35:58,623 | Analysis: The card is a 2016 Pokemon XY Evolutions #52 Mewtwo EX PSA 8. Market research shows 1 active listing and 6 sold listings with a 100% sell-through rate, indicating good liquidity. Recent sold prices range from $13.50 to $40.00, but the valuation is conservatively capped at $15.00 to preserve downside margin due to spread in sold prices. The current auction price of $49.99 is significantly above the conservative market value, making bidding unwise. The trend appears steady with no downward indication. Risk flags include valuation capped to lower sold comps and limited active listings.
2026-05-04 15:35:58,623 | Risks: valuation_capped_to_lower_sold_comps
2026-05-04 15:35:58,623 | Step 5: Applying bid safety rules...
2026-05-04 15:35:58,625 | Final decision: DENIED. Reason: Analysis agent recommended against bidding. Analysis confidence is below the configured threshold. Analysis did not provide an actionable max bid.
2026-05-04 15:35:58,625 | ------ End auction 4/25: denied ------
2026-05-04 15:36:04,450 | ------ Start auction 5/25 ------
2026-05-04 15:36:04,451 | Item ID: 298267581517 | Current price: $29.99
2026-05-04 15:36:04,451 | Auction title: 2025 POKEMON PFL EN-PHANTASMAL FLAMES ILLUSTRATION RARE PALDEAN WOOPER PSA 9
2026-05-04 15:36:04,451 | Step 1: Checking listing requirements...
2026-05-04 15:36:04,461 | Final decision: DENIED. Reason: Could not detect an allow-listed Pokemon in the listing details.
2026-05-04 15:36:04,461 | ------ End auction 5/25: denied ------
2026-05-04 15:36:09,945 | ------ Start auction 6/25 ------
2026-05-04 15:36:09,945 | Item ID: 306905169606 | Current price: $29.99
2026-05-04 15:36:09,945 | Auction title: 2016 POKEMON XY EVOLUTIONS #26 SLOWBRO EX PSA 7
2026-05-04 15:36:09,945 | Step 1: Checking listing requirements...
2026-05-04 15:36:09,949 | Final decision: DENIED. Reason: Could not detect an allow-listed Pokemon in the listing details.; Listing grade is not in the allowed grades rule set.
2026-05-04 15:36:09,949 | ------ End auction 6/25: denied ------
2026-05-04 15:36:15,592 | ------ Start auction 7/25 ------
2026-05-04 15:36:15,593 | Item ID: 117165124951 | Current price: $39.99
2026-05-04 15:36:15,593 | Auction title: 2014 POKEMON XY #43 RAICHU-REVERSE FOIL PSA 8
2026-05-04 15:36:15,594 | Step 1: Checking listing requirements...
2026-05-04 15:36:15,612 | Step 1 result: passed. Card appears to be Raichu, PSA 8, unknown language, current price $39.99.
2026-05-04 15:36:15,613 | Step 2: Asking the listing-review agent if this auction is worth researching...
2026-05-04 15:36:18,474 | Step 2 result: selected for market research.
2026-05-04 15:36:18,475 | Step 3: Researching market value, sold comps, and sell-through...
2026-05-04 15:36:26,504 | Step 3 result: market value=$15.60, sold comps=2, active listings=1, sell-through=1.00.
2026-05-04 15:36:26,505 | Market evidence: Two recent sales of the 2014 Pokémon XY #43 Raichu-Reverse Foil PSA 8 have been observed: one sold for $15.60 on January 18, 2026 ([fanaticscollect.com](https://www.fanaticscollect.com/weekly/bd483376-ee5b-11f0-9e3b-0a2a1c635b01/2014-pokemon-xy-raichu-43-psa-8-nm-mt?utm_source=openai)), and another listed at $99.99 on eBay ([ebay.com](https://www.ebay.com/itm/298194607626?utm_source=openai)). Given the limited data, the estimated market value is approximately $57.80, which is the average of these two prices. Conservative valuation override: Using lower sold comps instead of median/top-of-range comps because bidding should preserve downside margin. Lower comps=[15.6], spread_ratio=6.41, bid_fraction=0.70. Estimated market value was capped from $57.80 to $15.60.
2026-05-04 15:36:26,505 | Step 4: Asking the analysis agent for fair value and max bid...
2026-05-04 15:36:30,640 | Step 4 result: do not bid. Estimated value=$15.60, recommended max bid=unknown, confidence=0.55.
